price,bed,bath,sqft,address
285000,3,2,1373,"8447 W Roma Ave,, ,Phoenix, AZ 85037"
440000,4,2,2180,"4447 W Windrose Dr,, ,Glendale, AZ 85304"
385000,4,3,1936,"8061 W Agora Ln,, ,Phoenix, AZ 85043"
445000,3,3,1883,"25929 N 53rd Dr,, ,Phoenix, AZ 85083"
379990,3,2,1180,"933 E Carson Rd,, ,Phoenix, AZ 85042"
325000,3,2,1320,"6937 W Coolidge St,, ,Phoenix, AZ 85033"
1250000,5,5,3615,"16508 S 8th Way,, ,Phoenix, AZ 85048"
699999,4,3,3123,"2027 E Gwen St,, ,Phoenix, AZ 85042"
399000,3,3,1919,"7134 W Whyman Ave,, ,Phoenix, AZ 85043"
340000,3,2,1395,"2317 W Sierra St,, ,Phoenix, AZ 85029"
491000,4,2,1637,"3731 E Winchcomb Dr,, ,Phoenix, AZ 85032"
607900,3,2,2050,"22827 N 21st Way,, ,Phoenix, AZ 85024"
749000,4,4,2209,"3819 N 4th St,, ,Phoenix, AZ 85012"
725000,2,2,1466,"45 W Edgemont Ave,, ,Phoenix, AZ 85003"
299999,3,2,1176,"8845 N 29th Ave,, ,Phoenix, AZ 85051"
632500,3,3,2103,"12602 N 34th Pl,, ,Phoenix, AZ 85032"
295000,3,2,1040,"1847 N 38th Ln,, ,Phoenix, AZ 85009"
549000,3,2,1692,"702 W Encanto Blvd,, ,Phoenix, AZ 85007"
679000,4,3,1985,"6728 N 12th Ave,, ,Phoenix, AZ 85013"
459000,4,2,2062,"4627 W Dahlia Dr,, ,Glendale, AZ 85304"
889990,5,3,2851,"5124 E Muriel Dr,, ,Scottsdale, AZ 85254"
745000,4,3,2568,"6615 W Side Canyon Trl,, ,Phoenix, AZ 85083"
884000,5,4,4271,"26607 N 59th Ln,, ,Phoenix, AZ 85083"
749990,4,3,2460,"13432 N 20th St,, ,Phoenix, AZ 85022"
390000,3,2,1462,"3056 W Bloomfield Rd,, ,Phoenix, AZ 85029"
30600000,5,6,18000,"7265 N 40th St,, ,Paradise Valley, AZ 85253"
1375000,4,3,2990,"6514 E Larkspur Dr,, ,Scottsdale, AZ 85254"
919500,4,3,2230,"5516 N 11th St,, ,Phoenix, AZ 85014"
615000,4,3,2632,"18402 N 46th Dr,, ,Glendale, AZ 85308"
422000,4,2,1974,"4818 N 92nd Dr,, ,Phoenix, AZ 85037"
599999,3,2,2079,"1017 E Taro Ln,, ,Phoenix, AZ 85024"
470000,4,3,2115,"3135 E Larkspur Dr,, ,Phoenix, AZ 85032"
660000,3,2,1385,"1330 W Vermont Ave,, ,Phoenix, AZ 85013"
525000,4,3,2178,"2044 E Behrend Dr,, ,Phoenix, AZ 85024"
995000,4,4,2984,"4516 E Via Montoya Dr,, ,Phoenix, AZ 85050"
389000,3,2,1101,"3224 W Lone Cactus Dr,, ,Phoenix, AZ 85027"
699000,4,2,2159,"19449 N 36th Way,, ,Phoenix, AZ 85050"
415000,4,3,1743,"2245 E Pecan Rd,, ,Phoenix, AZ 85040"
1175000,5,4,3585,"22823 N 38th Way,, ,Phoenix, AZ 85050"
350000,3,3,1935,"9548 W Monte Vista Rd,, ,Phoenix, AZ 85037"
359900,4,3,1638,"4846 S 4th Ave,, ,Phoenix, AZ 85041"
580000,3,2,1516,"1750 W Pearce Rd,, ,Phoenix, AZ 85041"
674900,3,2,2344,"5115 W Piedmont Rd,, ,Laveen, AZ 85339"
1500000,4,4,2143,"4145 E Glenrosa Ave,, ,Phoenix, AZ 85018"
649900,4,3,2132,"4535 E Cox Ct,, ,Cave Creek, AZ 85331"
349000,3,2,1270,"809 E Wier Ave,, ,Phoenix, AZ 85040"
369900,3,2,1403,"7417 W Saint Catherine Ave,, ,Laveen, AZ 85339"
625000,3,2,2280,"1302 W Deer Creek Rd,, ,Phoenix, AZ 85045"
362000,4,2,1707,"3741 W Barnes Ln,, ,Phoenix, AZ 85051"
919000,4,3,3215,"4633 E Sierra Sunset Trl,, ,Cave Creek, AZ 85331"
1450000,3,2,2751,"9826 N 39th St,, ,Phoenix, AZ 85028"
5295000,3,4,4050,"5724 N Echo Canyon Dr,, ,Phoenix, AZ 85018"
575000,3,3,2469,"3006 W Glenhaven Dr,, ,Phoenix, AZ 85045"
324000,3,3,1440,"3344 N 62nd Dr,, ,Phoenix, AZ 85033"
900000,3,2,2024,"6419 E Paradise Ln,, ,Scottsdale, AZ 85254"
319900,3,2,1382,"3721 W Palo Verde Dr,, ,Phoenix, AZ 85019"
599900,4,3,2044,"1501 W Dunlap Ave,, ,Phoenix, AZ 85021"
357500,3,2,1435,"6442 W Elwood St,, ,Phoenix, AZ 85043"
500000,3,2,1708,"8820 N 15th Ln,, ,Phoenix, AZ 85021"
